id,role,industry,experience_level,years_experience,education_level,resume_text,technical_skills,project_count,certification_count,github_projects,salary_expectation,location,selected,interview_score,ats_score,culture_fit_score
801,Project Manager,E-commerce,Lead,5,PhD,"Experienced Project Manager with 5 years in software development. Proficient in Python, JavaScript, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Project', 'Python', 'Strong', 'Proficient', 'Led', 'Manager', 'Experienced']",8,3,13,118639,Hybrid,True,0.9528304732474737,66,0.9024990458797496
802,Frontend Developer,Technology,Entry,3,Master,"Experienced Frontend Developer with 1 years in software development. Proficient in HTML, JavaScript, Angular, CSS. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Strong', 'Proficient', 'Angular', 'Frontend', 'Developer', 'Led', 'Experienced']",3,1,1,95482,Hybrid,False,0.6259291382100711,93,0.5600603425343917
803,Full Stack Developer,Technology,Mid,0,PhD,"Experienced Full Stack Developer with 3 years in software development. Proficient in SQL, Python, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Full', 'Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Stack', 'Experienced']",6,4,14,63453,Hybrid,False,0.5303699579443656,46,0.692404607099595
804,QA Tester,Education,Lead,11,Master,"Experienced QA Tester with 5 years in software development. Proficient in SQL, JavaScript, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Tester', 'Led', 'Experienced']",9,4,9,49441,Remote,True,0.599988487676836,87,0.4757105619217495
805,Data Scientist,Education,Principal,2,Master,"Experienced Data Scientist with 6 years in software development. Proficient in NumPy, Pandas, Tableau, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Data', 'Strong', 'Scientist', 'Proficient', 'Led', 'Pandas', 'Tableau', 'Experienced']",7,3,5,75395,Hybrid,False,0.31705013652938124,69,0.584179006551154
806,UI/UX Designer,Healthcare,Senior,3,High School,"Experienced UI/UX Designer with 4 years in software development. Proficient in JavaScript, Python, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Designer', 'Python', 'Strong', 'Proficient', 'Led', 'Experienced']",1,3,19,94791,Hybrid,False,0.8132791135682447,80,0.7104054011072456
807,Cloud Architect,Finance,Entry,3,Bachelor,"Experienced Cloud Architect with 1 years in software development. Proficient in SQL, JavaScript, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Architect', 'Led', 'Cloud', 'Experienced']",9,0,15,38298,On-site,True,0.5213899972020828,47,0.7738156678247758
808,Frontend Developer,Finance,Lead,9,Bachelor,"Experienced Frontend Developer with 5 years in software development. Proficient in CSS, TypeScript, JavaScript, Angular. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Strong', 'Proficient', 'Angular', 'Frontend', 'Developer', 'Led', 'Experienced']",5,1,1,34477,Remote,True,0.39654630644567407,42,0.8163056728204321
809,Full Stack Developer,Finance,Senior,4,Bachelor,"Experienced Full Stack Developer with 4 years in software development. Proficient in JavaScript, Python, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Full', 'Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Stack', 'Experienced']",9,1,19,149632,Remote,True,0.7929411211887687,84,0.8190426029940954
810,Mobile Developer,E-commerce,Junior,13,High School,"Experienced Mobile Developer with 2 years in software development. Proficient in JavaScript, Python, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Mobile', 'Experienced']",4,1,12,138244,Remote,True,0.3537210916049817,91,0.641751829766767
811,Security Engineer,Healthcare,Mid,3,Bachelor,"Experienced Security Engineer with 3 years in software development. Proficient in Python, SQL, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Engineer', 'Led', 'Security', 'Experienced']",7,4,9,75609,Hybrid,False,0.7142533669246665,58,0.6977016310208841
812,Cloud Architect,E-commerce,Lead,0,Master,"Experienced Cloud Architect with 5 years in software development. Proficient in JavaScript, Python, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Architect', 'Led', 'Cloud', 'Experienced']",7,1,5,102702,On-site,True,0.6230562713454117,45,0.8491398836288051
813,Full Stack Developer,Technology,Junior,4,PhD,"Experienced Full Stack Developer with 2 years in software development. Proficient in Python, SQL, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Full', 'Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Stack', 'Experienced']",7,1,2,81754,On-site,False,0.7272779088379991,68,0.5932745043866926
814,Data Engineer,Manufacturing,Lead,11,High School,"Experienced Data Engineer with 5 years in software development. Proficient in Python, SQL, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Data', 'Strong', 'Proficient', 'Engineer', 'Led', 'Experienced']",4,3,18,69261,On-site,False,0.6230004633309212,59,0.4056120035169598
815,Security Engineer,Manufacturing,Principal,3,High School,"Experienced Security Engineer with 6 years in software development. Proficient in SQL, JavaScript, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Engineer', 'Led', 'Security', 'Experienced']",3,0,17,123812,Hybrid,False,0.406761359270356,68,0.8519156089209334
816,QA Tester,Education,Lead,8,Bachelor,"Experienced QA Tester with 5 years in software development. Proficient in SQL, JavaScript, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Tester', 'Led', 'Experienced']",9,0,17,124981,On-site,False,0.8333517157791859,70,0.5731975940013354
817,Frontend Developer,Finance,Mid,12,PhD,"Experienced Frontend Developer with 3 years in software development. Proficient in TypeScript, React, JavaScript, HTML. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['React', 'Strong', 'Proficient', 'Frontend', 'Developer', 'Led', 'Experienced']",4,4,0,95576,On-site,False,0.767213206974934,67,0.4527053439785608
818,ML Engineer,Healthcare,Principal,3,Master,"Experienced ML Engineer with 6 years in software development. Proficient in Kubernetes, Python, MLOps, AWS. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Experienced', 'Python', 'Strong', 'Proficient', 'Engineer', 'Led', 'Kubernetes']",2,4,6,146944,Remote,False,0.711320102620296,53,0.9863910306052902
819,Mobile Developer,Technology,Mid,3,PhD,"Experienced Mobile Developer with 3 years in software development. Proficient in JavaScript, SQL, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Mobile', 'Experienced']",1,2,15,63759,Hybrid,False,0.6125587702677726,65,0.8102569645373311
820,ML Engineer,Education,Entry,6,PhD,"Experienced ML Engineer with 1 years in software development. Proficient in TensorFlow, AWS, Docker, MLOps. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Strong', 'Proficient', 'Docker', 'Engineer', 'Led', 'Experienced']",3,4,11,61525,Remote,False,0.6904544935222057,59,0.6935937739804401
821,Frontend Developer,E-commerce,Junior,9,PhD,"Experienced Frontend Developer with 2 years in software development. Proficient in HTML, React, TypeScript, CSS. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['React', 'Strong', 'Proficient', 'Frontend', 'Developer', 'Led', 'Experienced']",7,2,6,127808,Hybrid,False,0.3573830934614285,85,0.7242709452416243
822,Mobile Developer,Technology,Lead,9,PhD,"Experienced Mobile Developer with 5 years in software development. Proficient in JavaScript, Python, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Mobile', 'Experienced']",9,0,14,33069,On-site,True,0.8442109573341421,85,0.8018061150123119
823,UI/UX Designer,Healthcare,Principal,11,PhD,"Experienced UI/UX Designer with 6 years in software development. Proficient in Python, JavaScript, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Designer', 'Python', 'Strong', 'Proficient', 'Led', 'Experienced']",6,0,13,139899,Hybrid,False,0.8284230056113875,43,0.7102189690835032
824,Android Developer,Finance,Entry,2,PhD,"Experienced Android Developer with 1 years in software development. Proficient in JavaScript, SQL, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Android', 'Experienced']",8,4,16,80303,On-site,False,0.9291095615124934,91,0.9944095779955249
825,Data Engineer,Education,Mid,3,Bachelor,"Experienced Data Engineer with 3 years in software development. Proficient in SQL, Python, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Data', 'Strong', 'Proficient', 'Engineer', 'Led', 'Experienced']",1,1,13,67421,Remote,True,0.9353412838225057,57,0.5834643452336585
826,Security Engineer,Education,Entry,11,PhD,"Experienced Security Engineer with 1 years in software development. Proficient in Python, SQL, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Engineer', 'Led', 'Security', 'Experienced']",6,2,1,85527,Remote,False,0.8491981243699851,87,0.45467742040268355
827,ML Engineer,Manufacturing,Senior,9,Bachelor,"Experienced ML Engineer with 4 years in software development. Proficient in PyTorch, Kubernetes, MLOps, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Experienced', 'Python', 'Strong', 'Proficient', 'Engineer', 'Led', 'Kubernetes']",5,1,12,143923,On-site,False,0.7552328727614416,66,0.5558643884564377
